1,20,8,2020,14404,29,1407,,0,GAUCHO-SOFT BRONCE,KALBVELOUR TOFFEE,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,VA 12ML CAFFEE,YL-264 NEW MORO,RX-55_15_100 TOFFEE_BLAU_ROT,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0971-30,SERAFIL 0971-60,SERAFIL 1000-60,SERAFIL 2000-60,SERAFIL 1000-30,,
1,,,,43311,79,1407,769,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
6,,,,14404,6,1449,,0,NUBUK JEANS,KORK-PU-S NATUR,PREMIERE-METALLIC-S SILBER,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,Y-012-0_12 SILBER HOCHGLANZ,YL-264 NEW SILBER,RX-76_12_105 OFFWHITE_BLAU,SERAFIL 0416-30,SERAFIL 0416-60,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0412-30,SERAFIL 2000-60,SERAFIL 1000-30,SERAFIL 1000-60
6,,,,14404,6,1449,,0,,0.08,0.0094,0.104,0.017,0.019,0.0124,0.012,0.008,0.035,20,2,1,5.75,4.15,5,2.2,1.5,5.65,13,2.2
6,,,,14404,6,1449,1,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,13,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,25,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,37,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,49,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,61,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,73,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,85,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,97,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,6,1449,109,120,0,9.6,1.128,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,498,600,264,180,678,1560,264
6,,,,14404,9,1449,,0,GAUCHO-SOFT WEISS,KORK-PU-S NATUR,SURI-S NUSS,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,Y-012-0_12 SILBER HOCHGLANZ,YL-264 NEW SILBER,RX-76_12_105 OFFWHITE_BLAU,SERAFIL 1000-30,SERAFIL 1000-60,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 1224-30,SERAFIL 2000-60,SERAFIL 1000-30,
6,,,,14404,9,1449,,0,,0.08,0.0097,0.104,0.017,0.019,0.0124,0.012,0.008,0.035,20,2,1,5.75,6.35,5,2.2,1.5,5.65,13,
6,,,,14404,9,1449,121,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,133,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,145,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,157,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,169,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,181,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,193,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,205,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,217,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,14404,9,1449,229,120,0,9.6,1.164,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,120,690,762,600,264,180,678,1560,
6,,,,18842,7,1449,,0,SAMTCHEVRO CAMEL,GAUCHO-SOFT WEISSGOLD,GAUCHO-SOFT YELLOW,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,JAGER,PU-SCHAUM 6 OFFWHITE,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,JW-73_4 CAMEL,RX-128_32 SALVIA_SILBER_YELLOW,RX-55_15_100 WEISS,SERAFIL 1222-30,SERAFIL 1222-60,SERAFIL 0663-30,SERAFIL 0663-60,SERAFIL 1000-60,SERAFIL 1000-30,,
6,,,,18842,7,1449,241,52,,0,0,0.099,0.019,0.017,0.0183,0.013,0.007,0.035,4,0.22,1,9.25,5.55,1,0.7,3.6,13,,
6,,,,18842,7,1449,247,120,0,0,0,11.88,2.28,2.04,2.196,1.56,0.84,4.2,480,26.4,120,1110,666,120,84,432,1560,,
